menu_start_game_0|Willkommen zu Mount & Blade: Warband, Abenteurer. Bevor Ihr das Spiel beginnen könnt, müsst Ihr einen Charakter erstellen. Vergesst nicht, dass im Spiel eine traditionelle mittelalterliche Gesellschaft dargestellt wird, in der Krieg und Politik üblicherweise von den männlichen Adeligen dominiert werden. Das sollte Euch aber nicht davon abbringen, einen weiblichen oder einen gemeinen Charakter zu spielen. Zwar haben es männliche Adlige bei Spielbeginn etwas leichter, doch Frauen und Gemeine können dieselben Ziele erreichen – und deren Spiel kann sich weitaus interessanter gestalten, wenn anfangs auch etwas schwerer.
mno_continue|Weiter ...
mno_go_back|Zurück.
menu_start_phase_2|Euch erreichen Kunde von Calradia, einem Land, zerrissen vom Machtkampf zwischen rivalisierenden Königreichen - ein Paradies für Ritter und Söldner, Schurken und Abenteurer, alle auf der Suche nach Reichtum, Macht oder Ruhm ... Ihr glaubt, in diesem Land großer Gefahren und noch größerer Gelegenheiten Eure Vergangenheit hinter Euch lassen und ein neues Leben beginnen zu können. In diesem Moment, auf einer Anhöhe über einem fernen Übungsplatz, habt Ihr endlich das Gefühl, den Schlüssel zu Eurem Schicksal in Euren eigenen Händen zu halten, freie Entscheidungen treffen zu können und dass großartige Abenteuer auf Euch warten - ganz gleich, welchen Weg Ihr auch einschlagen werdet. Inspiriert von den Geschichten, die Ihr über Calradia gehört habt ...
mno_town_1|schließt Ihr Euch einer Karawane nach Praven (Königreich Swadien) an.
mno_town_2|schließt Ihr Euch einer Karawane nach Reyvadin (Königreich Vägir) an.
mno_town_3|schließt Ihr Euch einer Karawane nach Tulga (Khanat Khergit) an.
mno_town_4|besteigt Ihr ein Schiff nach Sargot (Nord-Königreich).
mno_town_5|besteigt Ihr ein Schiff nach Jelkala (Königreich Rhodok).
mno_town_6|schließt Ihr Euch einer Karawane nach Shariz (Sarranidisches Sultanat).
menu_start_game_3|Wählt Euer Szenario:
mno_go_back|Zurück.
menu_tutorial|Ihr nähert Euch einem Feld, auf dem die Bewohner der umliegenden Siedlungen sich im Umgang mit allerlei Waffen schulen. Hier könnt Ihr Eure Kampffertigkeiten unter Beweis stellen und verbessern.
mno_continue|Weiter ...
mno_go_back_dot|Zurück.
menu_reports|Charakter-Ansehen: {reg5}^Ehrenwertung: {reg6}^Truppenmoral: {reg8}^Truppengröße: {reg7}^
mno_view_character_report|Charakterbericht ansehen.
mno_view_party_size_report|Truppengröße einsehen.
mno_view_npc_mission_report|Gefährtenmissionsbericht einsehen.
mno_view_weekly_budget_report|Wöchentlichen Finanzbericht einsehen.
mno_view_morale_report|Truppenmoral einsehen.
mno_lord_relations|Liste bekannter Fürsten und ihre Beziehung.
mno_courtship_relations|Brautwerbungsbeziehungen einsehen.
mno_view_faction_relations_report|Fraktionsbeziehungen einsehen.
mno_resume_travelling|Weiterreisen.
menu_custom_battle_scene|(NO TRANS)
mno_go_back|Zurück.
menu_custom_battle_end|Die Schlacht ist vorüber. {s1} Eure Seite tötete {reg5} Feinde und verlor {reg6} Krieger in diesem Gefecht. Ihr selbst überwandet {reg7} Männer im Kampfe.
mno_continue|Weiter ...
menu_start_game_1|Wählt das Geschlechts Eures Charakters aus.
mno_start_male|Männlich
mno_start_female|Weiblich
mno_go_back|Zurück.
menu_start_character_1|Ihr wurdet vor vielen Jahren in einem fernen Land geboren. Euer Vater war...
mno_start_noble|ein verarmter Adliger.
mno_start_merchant|ein Handelsreisender.
mno_start_guard|ein Kriegsveteran.
mno_start_forester|ein Jäger.
mno_start_nomad|ein Steppennomade.
mno_start_thief|ein Dieb.
mno_go_back|Zurück.
menu_start_character_2|{s10}^^ Sobald Ihr sprechen und laufen konntet, begannt Ihr, die Welt kennenzulernen. Ihr verbrachtet Eure frühen Jahre als...
mno_page|Page am Hof eines Adligen.
mno_apprentice|Lehrling eines Handwerkers.
mno_stockboy|Ladenverkäufer.
mno_urchin|Gassenkind.
mno_nomad|Steppenkind.
mno_go_back|Zurück.
menu_start_character_3|{s11}^^ Als junger Erwachsener wandelte sich Euer Leben. Ihr wurdet...
mno_squire|ein Junker.
mno_lady|eine Zofe.
mno_troubadour|ein Troubadour.
mno_student|ein Universitätsstudent.
mno_peddler|ein fliegender Händler.
mno_craftsman|ein Schmied.
mno_poacher|ein Wilderer.
mno_go_back|Zurück.
menu_start_character_4|{s12}^^Aber schon bald änderte sich alles und Ihr beschlosst, es auf eigene Faust als Abenteurer zu versuchen. Der Grund für diese Entscheidung war...
mno_revenge|Rache.
mno_death|der Verlust eines geliebten Menschen.
mno_wanderlust|Abenteuerlust.
mno_disown|der Hinauswurf aus dem eigenen Heim.
mno_greed|das Verlangen nach Geld und Macht.
mno_go_back|Zurück.
menu_choose_skill|{s13}
mno_begin_adventuring|Werdet ein Abenteurer und reitet Eurer Bestimmung entgegen.
mno_go_back_dot|Zurück.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
mno_continue|Weiter ...
mno_go_back_dot|Zurück.
menu_morale_report|{s1}
mno_continue|Weiter ...
menu_courtship_relations|{s1}
mno_continue|Weiter ...
menu_lord_relations|{s1}
mno_continue|Weiter ...
menu_companion_report|{s7}{s1}
mno_continue|Weiter ...
mno_go_back_dot|Zurück.
menu_character_report|{s9}
mno_continue|Weiter ...
mno_continue|Weiter ...
mno_continue|Weiter ...
mno_continue|Weiter ...
mno_continue|Weiter ...
mno_continue|Weiter ...
menu_party_size_report|{s1}
mno_continue|Weiter ...
menu_faction_relations_report|{s1}
mno_continue|Weiter ...
menu_camp|Ihr schlagt ein Lager auf. Was wollt Ihr tun?
mno_camp_action|Aktion vornehmen.
mno_camp_wait_here|Einige Zeit hier warten.
mno_camp_cheat|CHEAT MENU!
mno_resume_travelling|Weiterreisen.
menu_camp_cheat|Select a cheat:
mno_camp_cheat_find_item|Wetter ändern.
mno_camp_cheat_find_item|Wetter ändern.
mno_camp_action_4|Zurück zum Lagermenü.
mno_camp_action_4|Zurück zum Lagermenü.
menu_camp_action|Wählt eine Handlung aus:
mno_camp_recruit_prisoners|Rekrutiert einige Eurer Gefangenen.
mno_action_read_book|Wählt ein Buch zum Lesen aus.
mno_action_rename_kingdom|Benennt Euer Königreich um.
mno_action_retire|Zieht Euch aus dem Abenteurerleben zurück.
mno_camp_action_4|Zurück zum Lagermenü.
menu_camp_recruit_prisoners|Ihr bietet Euren Gefangenen die Freiheit an, wenn sie sich Euch als Krieger anschließen. {s18}
mno_camp_recruit_prisoners_accept|Nehmt sie.
mno_camp_recruit_prisoners_reject|Weist sie zurück.
mno_continue|Weiter ...
menu_camp_no_prisoners|Ihr habt keine Gefangenen zum Rekrutieren.
mno_continue|Weiter ...
menu_camp_action_read_book|Wählt ein Buch zum Lesen aus:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
mno_camp_action_4|Zurück zum Lagermenü.
menu_camp_action_read_book_start|{s1}
mno_continue|Weiter ...
menu_retirement_verify|Man schreibt Tag {reg0}. Euer momentanes Glück ist {reg1}. Seid Ihr sicher, in den Ruhestand gehen zu wollen?
mno_retire_yes|Ja.
mno_retire_no|Nein.
menu_end_game|Die Entscheidung wurde getroffen und Ihr gebt nun Euer Abenteurerleben auf und lasst Euch nieder. Ihr verkauft Eure Waffen und Rüstung, nehmt Euer Geld und reitet in den Sonnenuntergang von dannen ...
mno_end_game_bye|Lebt wohl.
menu_cattle_herd|Ihr trefft auf eine Herde Vieh.
mno_cattle_drive_away|Treibt das Vieh weiter.
mno_cattle_stop|Haltet die Herde an.
mno_cattle_kill|Schlachtet ein paar der Tiere.
mno_leave|Verlassen
